# Spatially averaged filter profile
# Averaging performed using nearest-neighbour technique to find area of Voronoi elements, weights proportional to areas
# wavelength	Transmission
2996.450	0.000
3026.540	0.000
3056.620	0.000
3086.710	0.000
3116.790	0.000
3146.870	0.000
3176.940	0.000
3207.020	0.000
3237.090	0.000
3267.160	0.000
3296.650	0.000
3326.720	0.000
3356.780	0.000
3386.830	0.000
3416.890	0.000
3446.940	0.000
3476.990	0.000
3507.030	0.000
3537.070	0.000
3567.110	0.000
3597.150	0.000
3627.180	0.000
3657.210	0.000
3687.240	0.000
3717.260	0.000
3747.280	0.000
3777.300	0.000
3807.880	0.001
3837.890	0.001
3867.890	0.002
3897.900	0.004
3927.900	0.013
3957.900	0.035
3987.890	0.074
4017.880	0.137
4047.870	0.256
4077.850	0.426
4107.830	0.564
4137.810	0.624
4168.340	0.639
4198.310	0.642
4228.280	0.661
4258.240	0.673
4288.200	0.675
4318.150	0.696
4348.100	0.697
4378.620	0.692
4408.560	0.694
4438.500	0.707
4468.440	0.699
4498.370	0.690
4528.300	0.695
4558.780	0.701
4588.700	0.691
4618.620	0.706
4648.530	0.712
4679.010	0.693
4708.910	0.711
4738.810	0.722
4768.710	0.725
4799.160	0.721
4829.050	0.724
4858.940	0.721
4888.820	0.727
4919.250	0.732
4949.130	0.730
4978.990	0.734
5009.420	0.725
5039.280	0.713
5069.130	0.700
5099.540	0.710
5129.390	0.710
5159.230	0.699
5189.630	0.699
5219.460	0.677
5249.290	0.655
5279.670	0.662
5309.490	0.669
5339.870	0.634
5369.680	0.509
5399.480	0.328
5429.840	0.176
5459.640	0.086
5489.990	0.041
5519.770	0.021
5550.120	0.011
5579.890	0.006
5610.230	0.004
5639.990	0.003
5670.320	0.002
5700.070	0.001
5730.380	0.001
5760.130	0.001
5790.430	0.000
5820.170	0.000
5850.460	0.000
5880.190	0.000
5910.470	0.000
5940.190	0.000
5970.460	0.000
6000.730	0.000
6030.430	0.000
6060.680	0.000
6090.380	0.000
6120.620	0.000
6150.860	0.000
6180.530	0.000
6210.760	0.000
6240.990	0.000
6270.640	0.000
6300.860	0.000
6331.060	0.000
6360.710	0.000
6390.900	0.000
6421.090	0.000
6451.280	0.000
6480.900	0.000
6511.070	0.000
6541.230	0.000
6571.390	0.000
6600.990	0.000
6631.140	0.000
6661.290	0.000
6691.420	0.000
6721.550	0.000
6751.680	0.000
6781.240	0.000
6811.360	0.000
6841.460	0.000
6871.570	0.000
6901.660	0.000
6931.750	0.000
6961.830	0.000
6991.910	0.000
7021.980	0.000
7052.050	0.000
7082.110	0.000
7112.160	0.000
7142.200	-0.000
7172.240	0.000
7202.280	0.000
7232.300	-0.000
7262.320	0.000
7292.340	-0.000
7322.340	0.000
7352.350	-0.000
7382.340	-0.000
7412.330	0.000
7442.310	-0.000
7472.280	0.000
7502.250	-0.000
7532.210	0.000
7562.720	0.000
7592.670	0.000
7622.610	0.000
7652.540	0.000
7682.470	0.000
7712.940	0.000
7742.860	0.000
7772.770	0.000
7802.660	0.000
7833.110	0.000
7863.000	0.000
7892.880	0.000
7922.750	0.000
7953.160	0.000
7983.020	0.000
8012.870	0.000
8043.270	0.000
8073.100	0.000
8103.480	0.000
8133.310	0.000
8163.120	-0.000
8193.480	0.000
8223.280	0.000
8253.620	0.000
8283.410	-0.000
8313.740	0.000
8343.510	0.000
8373.820	0.000
8403.570	0.000
8433.870	0.000
8463.610	0.000
8493.890	0.000
8523.620	0.000
8553.890	0.000
8583.590	0.000
8613.850	0.000
8644.090	0.000
8673.780	0.000
8704.000	0.000
8734.220	0.000
8763.890	0.000
8794.090	0.000
8824.280	0.000
8854.470	0.000
8884.100	0.000
8914.270	0.000
8944.440	0.000
8974.590	0.000
9004.190	0.000
9034.330	0.000
9064.460	0.000
9094.580	0.000
9124.690	0.000
9154.800	0.000
9184.890	0.000
9214.430	0.000
9244.510	0.000
9274.580	0.000
9304.650	0.000
9334.700	0.000
9364.750	0.000
9394.780	0.000
9424.810	0.000
9454.830	0.000
9484.840	0.000
9514.840	0.000
9545.380	0.000
9575.370	0.000
9605.340	0.000
9635.310	0.000
9665.260	0.000
9695.210	0.000
9725.150	0.000
9755.630	0.000
9785.550	0.000
9815.460	0.000
9845.370	0.000
9875.800	0.000
9905.690	0.000
9935.560	0.000
9965.430	0.000
9995.830	0.000
10025.680	0.000
10055.520	0.000
10085.890	0.000
10115.710	0.000
10146.060	0.000
10175.870	0.000
10206.200	0.000
10235.980	0.000
10266.290	0.000
10296.060	0.000
10326.350	0.000
10356.100	0.000
10386.370	0.000
10416.100	0.000
10446.350	0.000
10476.600	0.000
10506.290	0.000
10536.520	0.000
10566.200	0.000
10596.400	0.000
10626.600	0.000
10656.780	0.000
10686.420	0.000
10716.580	0.000
10746.740	0.000
10776.880	0.000
10807.020	0.000
10836.600	0.000
10866.720	0.000
10896.820	0.000
10926.910	0.000
10956.990	0.000
10987.070	0.000
11017.130	0.000
11047.180	0.000
11077.220	0.000
11107.250	0.000
11137.270	0.000
11167.280	0.000
11197.280	0.000
11227.260	0.000
11257.240	0.000
11287.200	0.000
11317.700	0.000
11347.640	0.000
11377.570	0.000
11407.490	0.000
11437.410	0.000
11467.840	0.000
11497.730	0.000
11527.610	0.000
11558.010	0.000
11587.860	0.000
11617.710	0.000
11648.070	0.000
11677.900	0.000
11707.710	0.000
11738.040	0.000
11767.830	0.000
11798.140	0.000
11827.900	0.000
11858.190	0.000
11887.930	0.000
11918.200	0.000
11948.450	0.000
11978.150	0.000
12008.380	0.000
